"","source","target","weight"
"1","decency","bigot",109
"2","decency","blight",109
"3","decency","qualities",109
"4","decency","reflect",109
"5","decency","statements",109
"6","decency","httpcovkbnmb",108
"7","decency","zacharyquinto",108
"8","decency","human",109
"9","decency","economy",4
"10","decency","truth",4
"11","decency","believe",4
"12","bigot","blight",109
"13","bigot","qualities",109
"14","bigot","reflect",109
"15","bigot","statements",109
"16","bigot","httpcovkbnmb",108
"17","bigot","zacharyquinto",108
"18","bigot","human",109
"19","blight","qualities",109
"20","blight","reflect",109
"21","blight","statements",109
"22","blight","httpcovkbnmb",108
"23","blight","zacharyquinto",108
"24","blight","human",109
"25","qualities","reflect",109
"26","qualities","statements",109
"27","qualities","httpcovkbnmb",108
"28","qualities","zacharyquinto",108
"29","qualities","human",109
"30","reflect","statements",109
"31","reflect","httpcovkbnmb",108
"32","reflect","zacharyquinto",108
"33","reflect","human",109
"34","statements","httpcovkbnmb",108
"35","statements","zacharyquinto",108
"36","statements","human",109
"37","httpcovkbnmb","zacharyquinto",108
"38","httpcovkbnmb","human",108
"39","zacharyquinto","human",108
"40","zacharyquinto","ohio",1
"41","zacharyquinto","voting",2
"42","zacharyquinto","election",1
"43","zacharyquinto","people",1
"44","zacharyquinto","mitt",1
"45","zacharyquinto","american",2
"46","zacharyquinto","real",1
"47","zacharyquinto","win",1
"48","zacharyquinto","thank",1
"49","jeep","tcot",2
"50","jeep","ohio",22
"51","jeep","lissmith",12
"52","jeep","people",6
"53","jeep","jobs",23
"54","jeep","moving",35
"55","jeep","american",3
"56","jeep","economy",1
"57","jeep","plan",1
"58","jeep","day",4
"59","jeep","hey",1
"60","jeep","foxnews",1
"61","jeep","care",5
"62","jeep","campaign",1
"63","jeep","video",2
"64","jeep","lying",12
"65","jeep","truth",6
"66","paulryanvp","solve",8
"67","paulryanvp","tcot",20
"68","paulryanvp","red",3
"69","paulryanvp","ohio",2
"70","paulryanvp","gop",11
"71","paulryanvp","romneyryan",10
"72","paulryanvp","voting",2
"73","paulryanvp","election",1
"74","paulryanvp","people",2
"75","paulryanvp","help",3
"76","paulryanvp","voted",11
"77","paulryanvp","mitt",3
"78","paulryanvp","country",2
"79","paulryanvp","jobs",1
"80","paulryanvp","plan",3
"81","paulryanvp","reppaulryan",1
"82","paulryanvp","real",6
"83","paulryanvp","bring",2
"84","paulryanvp","via",5
"85","paulryanvp","foxnews",1
"86","paulryanvp","cantaffordmore",1
"87","paulryanvp","video",2
"88","paulryanvp","lying",2
"89","paulryanvp","stand",2
"90","paulryanvp","remember",1
"91","paulryanvp","truth",1
"92","paulryanvp","believe",1
"93","deanstjames","movie",54
"94","deanstjames","fox",48
"95","deanstjames","shown",54
"96","deanstjames","election",55
"97","deanstjames","time",1
"98","deanstjames","american",2
"99","deanstjames","god",1
"100","deanstjames","lying",2
"101","deanstjames","stand",3
"102","dmregister","endorsement",49
"103","dmregister","voting",1
"104","dmregister","people",1
"105","dmregister","help",28
"106","dmregister","mitt",3
"107","dmregister","plan",9
"108","dmregister","iowa",28
"109","dmregister","real",1
"110","dmregister","endorsed",1
"111","dmregister","cantaffordmore",1
"112","dmregister","class",1
"113","dmregister","tell",9
"114","dmregister","thank",1
"115","dmregister","middle",1
"116","dmregister","stand",2
"117","marcorubio","tcot",24
"118","marcorubio","pensacola",29
"119","marcorubio","sayfie",42
"120","marcorubio","fox",2
"121","marcorubio","gop",42
"122","marcorubio","romneyryan",4
"123","marcorubio","lissmith",1
"124","marcorubio","kissimmee",38
"125","marcorubio","election",1
"126","marcorubio","time",1
"127","marcorubio","help",1
"128","marcorubio","mitt",1
"129","marcorubio","real",1
"130","marcorubio","bring",1
"131","marcorubio","day",21
"132","marcorubio","via",1
"133","marcorubio","win",1
"134","marcorubio","days",2
"135","marcorubio","god",1
"136","marcorubio","foxnews",2
"137","marcorubio","campaign",1
"138","marcorubio","thank",1
"139","endorsement","tcot",10
"140","endorsement","ohio",1
"141","endorsement","gop",18
"142","endorsement","romneyryan",2
"143","endorsement","help",28
"144","endorsement","mitt",2
"145","endorsement","country",1
"146","endorsement","iowa",41
"147","endorsement","via",2
"148","endorsement","win",1
"149","endorsement","tell",2
"150","endorsement","stand",1
"151","solve","democrats",58
"152","solve","republicans",59
"153","solve","seen",58
"154","solve","leadership",58
"155","solve","god",1
"156","relief","cross",58
"157","relief","redcross",57
"158","relief","httpcooepuxjmo",56
"159","relief","donating",58
"160","relief","efforts",58
"161","relief","sandy",59
"162","relief","red",58
"163","relief","text",57
"164","relief","campaign",1
"165","cross","redcross",57
"166","cross","httpcooepuxjmo",56
"167","cross","donating",58
"168","cross","efforts",58
"169","cross","sandy",58
"170","cross","red",58
"171","cross","text",57
"172","tcot","democrats",1
"173","tcot","red",3
"174","tcot","republicans",3
"175","tcot","pensacola",24
"176","tcot","sayfie",26
"177","tcot","fox",2
"178","tcot","ohio",9
"179","tcot","gop",74
"180","tcot","romneyryan",40
"181","tcot","kissimmee",18
"182","tcot","voting",4
"183","tcot","election",4
"184","tcot","people",3
"185","tcot","time",8
"186","tcot","help",2
"187","tcot","voted",19
"188","tcot","mitt",12
"189","tcot","country",3
"190","tcot","jobs",5
"191","tcot","moving",3
"192","tcot","american",2
"193","tcot","economy",3
"194","tcot","plan",2
"195","tcot","reppaulryan",1
"196","tcot","iowa",3
"197","tcot","day",22
"198","tcot","via",4
"199","tcot","win",4
"200","tcot","endorsed",1
"201","tcot","days",2
"202","tcot","god",1
"203","tcot","hey",1
"204","tcot","foxnews",1
"205","tcot","cantaffordmore",5
"206","tcot","top",1
"207","tcot","house",3
"208","tcot","care",2
"209","tcot","watch",2
"210","tcot","campaign",3
"211","tcot","friends",1
"212","tcot","video",12
"213","tcot","taxes",2
"214","tcot","thank",1
"215","tcot","hard",1
"216","tcot","stand",2
"217","tcot","remember",1
"218","tcot","woods",10
"219","tcot","office",2
"220","tcot","believe",3
"221","redcross","httpcooepuxjmo",56
"222","redcross","donating",57
"223","redcross","efforts",57
"224","redcross","sandy",57
"225","redcross","red",57
"226","redcross","text",57
"227","httpcooepuxjmo","donating",56
"228","httpcooepuxjmo","efforts",56
"229","httpcooepuxjmo","sandy",56
"230","httpcooepuxjmo","red",56
"231","httpcooepuxjmo","text",56
"232","democrats","republicans",58
"233","democrats","seen",57
"234","democrats","leadership",57
"235","democrats","election",1
"236","democrats","day",1
"237","democrats","god",1
"238","movie","fox",48
"239","movie","ohio",1
"240","movie","shown",54
"241","movie","seen",1
"242","movie","election",54
"243","movie","hey",1
"244","donating","efforts",58
"245","donating","sandy",58
"246","donating","red",58
"247","donating","text",57
"248","efforts","sandy",58
"249","efforts","red",58
"250","efforts","text",57
"251","sandy","red",58
"252","sandy","text",57
"253","sandy","gop",1
"254","sandy","election",1
"255","sandy","people",1
"256","sandy","mitt",1
"257","sandy","day",1
"258","sandy","win",1
"259","sandy","campaign",3
"260","sandy","tell",1
"261","red","text",57
"262","red","romneyryan",1
"263","red","mitt",1
"264","red","country",1
"265","republicans","ohio",1
"266","republicans","gop",3
"267","republicans","seen",58
"268","republicans","leadership",58
"269","republicans","time",1
"270","republicans","mitt",1
"271","republicans","moving",1
"272","republicans","day",1
"273","republicans","win",1
"274","republicans","god",1
"275","republicans","video",1
"276","republicans","dear",1
"277","republicans","believe",1
"278","pensacola","sayfie",24
"279","pensacola","gop",23
"280","pensacola","romneyryan",5
"281","pensacola","kissimmee",19
"282","pensacola","mitt",1
"283","pensacola","day",20
"284","pensacola","days",1
"285","pensacola","foxnews",8
