"","source","target","weight"
"1","forward","busabusss",1
"2","forward","reasons",52
"3","forward","reelect",56
"4","forward","failed",1
"5","forward","friends",6
"6","forward","httpcotikxfffu",45
"7","forward","govchristie",1
"8","forward","god",2
"9","forward","agree",2
"10","forward","plan",3
"11","forward","protect",1
"12","forward","health",1
"13","forward","thanks",2
"14","forward","amp",5
"15","forward","sandy",4
"16","forward","election",25
"17","forward","help",21
"18","forward","fema",1
"19","forward","benghazi",2
"20","forward","day",21
"21","forward","voted",10
"22","forward","campaign",2
"23","forward","days",21
"24","forward","cantaffordmore",1
"25","forward","voting",10
"26","forward","obama",12
"27","forward","please",1
"28","forward","via",8
"29","forward","win",1
"30","forward","country",5
"31","forward","relief",1
"32","forward","halloween",2
"33","forward","americans",1
"34","forward","week",1
"35","forward","teaparty",2
"36","forward","family",1
"37","forward","final",1
"38","forward","lies",1
"39","forward","love",7
"40","forward","hurricane",1
"41","forward","pres",1
"42","forward","hey",5
"43","forward","women",2
"44","forward","look",2
"45","forward","poll",1
"46","busabusss","devil",53
"47","busabusss","god",53
"48","busabusss","plan",53
"49","busabusss","won",52
"50","busabusss","amp",1
"51","busabusss","campaign",10
"52","busabusss","win",2
"53","busabusss","hope",1
"54","reasons","reelect",54
"55","reasons","httpcotikxfffu",45
"56","reasons","election",1
"57","reasons","obama",3
"58","reasons","halloween",1
"59","reasons","americans",1
"60","devil","god",54
"61","devil","plan",54
"62","devil","won",53
"63","devil","amp",1
"64","devil","win",1
"65","devil","hope",1
"66","reelect","httpcotikxfffu",45
"67","reelect","amp",1
"68","reelect","election",1
"69","reelect","help",2
"70","reelect","voting",1
"71","reelect","win",4
"72","reelect","country",1
"73","reelect","halloween",1
"74","reelect","americans",2
"75","reelect","hope",1
"76","reelect","poll",1
"77","failed","agree",47
"78","failed","plan",2
"79","failed","protect",1
"80","failed","amp",10
"81","failed","sandy",1
"82","failed","benghazi",7
"83","failed","time",1
"84","failed","campaign",3
"85","failed","people",5
"86","failed","reppaulryan",46
"87","failed","americans",1
"88","failed","realdonaldtrump",3
"89","failed","hope",5
"90","failed","call",1
"91","friends","insurance",24
"92","friends","obamacare",24
"93","friends","httpconyiynfha",32
"94","friends","httpcormbulvjt",32
"95","friends","health",24
"96","friends","thanks",2
"97","friends","election",51
"98","friends","day",17
"99","friends","voted",1
"100","friends","days",1
"101","friends","people",2
"102","friends","taxes",34
"103","friends","week",17
"104","friends","choice",34
"105","friends","family",37
"106","friends","lies",1
"107","friends","hey",1
"108","friends","women",1
"109","insurance","obamacare",45
"110","insurance","plan",20
"111","insurance","health",26
"112","insurance","thanks",20
"113","insurance","country",1
"114","insurance","women",20
"115","govchristie","mikebloomberg",3
"116","govchristie","thanks",1
"117","govchristie","amp",26
"118","govchristie","sandy",12
"119","govchristie","election",1
"120","govchristie","help",5
"121","govchristie","fema",1
"122","govchristie","benghazi",1
"123","govchristie","time",2
"124","govchristie","days",1
"125","govchristie","people",9
"126","govchristie","country",9
"127","govchristie","relief",1
"128","govchristie","believe",1
"129","govchristie","americans",2
"130","govchristie","disaster",1
"131","govchristie","week",2
"132","govchristie","gov",1
"133","govchristie","money",1
"134","govchristie","real",1
"135","govchristie","christie",4
"136","govchristie","love",2
"137","govchristie","hurricane",2
"138","govchristie","pres",3
"139","govchristie","hope",1
"140","govchristie","call",2
"141","god","plan",54
"142","god","won",53
"143","god","amp",2
"144","god","sandy",2
"145","god","cantaffordmore",1
"146","god","please",6
"147","god","win",1
"148","god","country",1
"149","god","family",1
"150","god","gov",1
"151","god","agenda",1
"152","god","love",10
"153","god","hope",1
"154","agree","plan",1
"155","agree","amp",1
"156","agree","election",1
"157","agree","time",1
"158","agree","people",2
"159","agree","obama",1
"160","agree","reppaulryan",46
"161","agree","please",1
"162","agree","disaster",5
"163","agree","women",5
"164","agree","poll",1
"165","obamacare","plan",20
"166","obamacare","health",25
"167","obamacare","thanks",22
"168","obamacare","cantaffordmore",2
"169","obamacare","taxes",2
"170","obamacare","americans",2
"171","obamacare","women",20
"172","httpconyiynfha","httpcormbulvjt",32
"173","httpconyiynfha","election",32
"174","httpconyiynfha","taxes",32
"175","httpconyiynfha","choice",32
"176","httpconyiynfha","family",32
"177","httpcormbulvjt","election",32
"178","httpcormbulvjt","taxes",32
"179","httpcormbulvjt","choice",32
"180","httpcormbulvjt","family",32
"181","plan","won",53
"182","plan","security",1
"183","plan","thanks",20
"184","plan","amp",3
"185","plan","voted",2
"186","plan","people",1
"187","plan","cantaffordmore",1
"188","plan","obama",3
"189","plan","win",1
"190","plan","country",4
"191","plan","agenda",2
"192","plan","women",20
"193","plan","hope",1
"194","plan","call",1
"195","tried","basketball",27
"196","tried","reelection",27
"197","tried","amp",1
"198","tried","days",27
"199","tried","reppaulryan",1
"200","tried","love",1
"201","won","election",1
"202","won","win",1
"203","protect","peter",28
"204","protect","medicaid",28
"205","protect","security",28
"206","protect","benghazi",1
"207","protect","voted",28
"208","protect","obama",1
"209","protect","believe",28
"210","protect","americans",1
"211","peter","medicaid",28
"212","peter","security",28
"213","peter","voted",28
"214","peter","believe",28
"215","medicaid","security",28
"216","medicaid","voted",28
"217","medicaid","believe",28
"218","security","benghazi",1
"219","security","voted",28
"220","security","people",1
"221","security","reppaulryan",6
"222","security","believe",28
"223","security","teaparty",1
"224","security","hey",1
"225","basketball","reelection",27
"226","basketball","days",27
"227","mikebloomberg","thanks",22
"228","mikebloomberg","amp",4
"229","mikebloomberg","fema",22
"230","mikebloomberg","disaster",1
"231","health","voted",1
"232","health","people",1
"233","health","voting",3
"234","health","obama",3
"235","health","country",1
"236","health","americans",1
"237","health","women",2
"238","messina","reelection",12
"239","messina","election",3
"240","messina","days",3
"241","messina","win",12
"242","reelection","amp",3
"243","reelection","election",2
"244","reelection","time",1
"245","reelection","campaign",1
"246","reelection","support",3
"247","reelection","days",27
"248","reelection","win",12
"249","thanks","amp",4
"250","thanks","sandy",3
"251","thanks","help",1
"252","thanks","fema",24
"253","thanks","voted",1
"254","thanks","people",3
"255","thanks","obama",1
"256","thanks","please",2
"257","thanks","win",1
"258","thanks","americans",2
"259","thanks","disaster",2
"260","thanks","week",1
"261","thanks","gov",1
"262","thanks","love",1
"263","thanks","hey",1
"264","thanks","women",20
"265","amp","sandy",12
"266","amp","election",3
"267","amp","help",2
"268","amp","fema",12
"269","amp","benghazi",11
"270","amp","day",1
"271","amp","time",2
"272","amp","voted",4
"273","amp","campaign",3
"274","amp","support",6
"275","amp","days",2
"276","amp","people",13
"277","amp","cantaffordmore",8
"278","amp","voting",3
"279","amp","obama",5
"280","amp","please",3
"281","amp","via",2
"282","amp","win",4
"283","amp","country",7
"284","amp","relief",9
"285","amp","believe",1
"286","amp","taxes",1
"287","amp","halloween",1
"288","amp","americans",8
"289","amp","disaster",10
"290","amp","week",5
"291","amp","choice",1
"292","amp","gov",4
"293","amp","money",1
"294","amp","real",7
"295","amp","agenda",1
"296","amp","christie",3
"297","amp","lies",2
"298","amp","love",4
"299","amp","pres",12
"300","amp","stand",1
"301","amp","women",2
"302","amp","hope",7
"303","amp","call",3
"304","amp","look",1
"305","sandy","election",6
"306","sandy","help",5
"307","sandy","fema",11
"308","sandy","benghazi",11
"309","sandy","day",2
"310","sandy","time",2
"311","sandy","voted",1
"312","sandy","campaign",6
"313","sandy","support",3
"314","sandy","days",1
"315","sandy","people",5
"316","sandy","voting",1
"317","sandy","obama",3
"318","sandy","please",2
"319","sandy","via",6
"320","sandy","win",2
"321","sandy","relief",4
"322","sandy","believe",1
"323","sandy","americans",3
"324","sandy","disaster",2
"325","sandy","gov",16
"326","sandy","money",2
"327","sandy","realdonaldtrump",2
"328","sandy","christie",13
"329","sandy","love",1
"330","sandy","hurricane",20
"331","sandy","hey",2
"332","sandy","hope",2
"333","sandy","call",4
"334","sandy","look",4
"335","election","help",33
"336","election","day",60
"337","election","time",3
"338","election","voted",4
"339","election","campaign",3
"340","election","support",4
"341","election","days",25
"342","election","obama",1
"343","election","please",3
"344","election","via",1
"345","election","win",5
"346","election","relief",1
"347","election","taxes",34
"348","election","halloween",1
"349","election","week",30
"350","election","teaparty",3
"351","election","choice",35
"352","election","family",34
"353","election","realdonaldtrump",1
"354","election","christie",1
"355","election","love",3
"356","election","hey",1
"357","election","call",1
"358","help","fema",1
"359","help","benghazi",2
"360","help","day",25
"361","help","campaign",3
"362","help","support",3
"363","help","days",21
"364","help","people",2
"365","help","obama",1
"366","help","please",6
"367","help","win",3
"368","help","country",2
"369","help","disaster",1
"370","help","gov",2
"371","help","money",1
"372","help","real",1
"373","help","realdonaldtrump",3
"374","help","final",1
"375","help","christie",1
"376","help","call",5
"377","fema","benghazi",1
"378","fema","time",1
"379","fema","people",1
"380","fema","voting",1
"381","fema","obama",1
"382","fema","via",2
"383","fema","country",1
"384","fema","relief",8
"385","fema","americans",1
"386","fema","disaster",8
"387","fema","gov",3
"388","fema","christie",4
"389","fema","hurricane",3
"390","fema","pres",8
"391","fema","call",1
"392","benghazi","day",2
