"","source","target","weight"
"1","romneycentral","tcot",7
"2","romneycentral","romneyryan",11
"3","romneycentral","paulryanvp",5
"4","romneycentral","experience",4
"5","romneycentral","mitt",16
"6","romneycentral","voting",22
"7","romneycentral","change",1
"8","romneycentral","america",12
"9","romneycentral","real",3
"10","romneycentral","help",1
"11","romneycentral","ohio",1
"12","romneycentral","country",13
"13","romneycentral","cantaffordmore",1
"14","romneycentral","voted",22
"15","romneycentral","american",1
"16","romneycentral","campaign",3
"17","romneycentral","jobs",2
"18","romneycentral","time",1
"19","romneycentral","believe",7
"20","romneycentral","please",2
"21","romneycentral","support",5
"22","romneycentral","hope",8
"23","romneycentral","economy",10
"24","romneycentral","day",2
"25","romneycentral","future",8
"26","romneycentral","world",1
"27","tcot","romneyryan",38
"28","tcot","paulryanvp",22
"29","tcot","bad",6
"30","tcot","mitt",15
"31","tcot","gop",37
"32","tcot","election",9
"33","tcot","voting",1
"34","tcot","change",5
"35","tcot","sandy",8
"36","tcot","america",9
"37","tcot","real",4
"38","tcot","benghazi",6
"39","tcot","help",5
"40","tcot","days",7
"41","tcot","ohio",7
"42","tcot","country",4
"43","tcot","obama",7
"44","tcot","cantaffordmore",13
"45","tcot","afford",1
"46","tcot","voted",4
"47","tcot","american",2
"48","tcot","campaign",3
"49","tcot","jobs",10
"50","tcot","via",5
"51","tcot","believe",2
"52","tcot","please",1
"53","tcot","support",13
"54","tcot","win",6
"55","tcot","economy",5
"56","tcot","tell",2
"57","tcot","future",1
"58","tcot","reppaulryan",1
"59","tcot","tax",1
"60","tcot","world",9
"61","tcot","moving",2
"62","tcot","americans",1
"63","tcot","photo",1
"64","tcot","love",3
"65","tcot","fema",3
"66","tcot","dear",6
"67","tcot","gas",4
"68","tcot","hey",1
"69","tcot","twitter",1
"70","tcot","watch",4
"71","romneyryan","paulryanvp",7
"72","romneyryan","mitt",9
"73","romneyryan","gop",3
"74","romneyryan","election",6
"75","romneyryan","voting",2
"76","romneyryan","change",2
"77","romneyryan","sandy",3
"78","romneyryan","help",1
"79","romneyryan","days",3
"80","romneyryan","ohio",4
"81","romneyryan","country",4
"82","romneyryan","obama",1
"83","romneyryan","cantaffordmore",8
"84","romneyryan","voted",7
"85","romneyryan","campaign",1
"86","romneyryan","jobs",2
"87","romneyryan","ready",1
"88","romneyryan","believe",1
"89","romneyryan","please",3
"90","romneyryan","support",12
"91","romneyryan","win",1
"92","romneyryan","economy",5
"93","romneyryan","day",1
"94","romneyryan","tell",2
"95","romneyryan","future",1
"96","romneyryan","world",1
"97","romneyryan","photo",1
"98","romneyryan","cnn",1
"99","romneyryan","love",1
"100","romneyryan","fema",2
"101","romneyryan","dear",1
"102","romneyryan","gas",1
"103","romneyryan","watch",4
"104","paulryanvp","mitt",2
"105","paulryanvp","gop",4
"106","paulryanvp","election",11
"107","paulryanvp","voting",3
"108","paulryanvp","change",2
"109","paulryanvp","sandy",1
"110","paulryanvp","america",3
"111","paulryanvp","real",1
"112","paulryanvp","benghazi",2
"113","paulryanvp","help",19
"114","paulryanvp","days",2
"115","paulryanvp","ohio",20
"116","paulryanvp","country",22
"117","paulryanvp","cantaffordmore",3
"118","paulryanvp","voted",10
"119","paulryanvp","american",2
"120","paulryanvp","campaign",3
"121","paulryanvp","jobs",1
"122","paulryanvp","via",1
"123","paulryanvp","time",4
"124","paulryanvp","please",2
"125","paulryanvp","support",1
"126","paulryanvp","win",1
"127","paulryanvp","care",1
"128","paulryanvp","hope",1
"129","paulryanvp","economy",3
"130","paulryanvp","tell",1
"131","paulryanvp","reppaulryan",1
"132","paulryanvp","cnn",1
"133","paulryanvp","love",1
"134","paulryanvp","money",1
"135","paulryanvp","fema",1
"136","paulryanvp","hey",2
"137","bad","robdelaney",53
"138","bad","httpcokxnyw",42
"139","bad","mitt",3
"140","bad","gop",3
"141","bad","america",7
"142","bad","real",1
"143","bad","benghazi",1
"144","bad","help",1
