"","source","target","weight"
"1","httpcouyhqcds","paulryanvp",9
"2","httpcouyhqcds","america",75
"3","httpcouyhqcds","real",19
"4","httpcouyhqcds","country",56
"5","httpcouyhqcds","recovery",17
"6","httpcouyhqcds","future",25
"7","httpcouyhqcds","path",28
"8","httpcouyhqcds","prosperity",28
"9","httpcouyhqcds","help",65
"10","httpcouyhqcds","please",28
"11","httpcouyhqcds","time",18
"12","httpcouyhqcds","hope",36
"13","httpcouyhqcds","tomorrow",21
"14","httpcouyhqcds","friends",18
"15","httpcouyhqcds","bring",28
"16","httpcouyhqcds","family",18
"17","httpcouyhqcds","support",1
"18","httpcouyhqcds","ready",2
"19","httpcouyhqcds","polling",5
"20","httpcouyhqcds","americans",8
"21","paulryanvp","romneyryan",10
"22","paulryanvp","america",29
"23","paulryanvp","real",32
"24","paulryanvp","country",7
"25","paulryanvp","anndromney",1
"26","paulryanvp","recovery",31
"27","paulryanvp","future",1
"28","paulryanvp","tcot",6
"29","paulryanvp","voted",18
"30","paulryanvp","voting",1
"31","paulryanvp","amp",29
"32","paulryanvp","day",2
"33","paulryanvp","help",11
"34","paulryanvp","please",3
"35","paulryanvp","time",2
"36","paulryanvp","thank",12
"37","paulryanvp","campaign",2
"38","paulryanvp","waiting",1
"39","paulryanvp","people",4
"40","paulryanvp","luck",1
"41","paulryanvp","ohio",1
"42","paulryanvp","god",4
"43","paulryanvp","proud",6
"44","paulryanvp","votes",2
"45","paulryanvp","believe",2
"46","paulryanvp","hey",1
"47","paulryanvp","choice",1
"48","paulryanvp","twitter",2
"49","paulryanvp","voters",1
"50","paulryanvp","hard",4
"51","paulryanvp","shit",1
"52","paulryanvp","victory",2
"53","paulryanvp","usa",1
"54","reppaulryan","romneyryan",17
"55","reppaulryan","america",4
"56","reppaulryan","fuck",1
"57","reppaulryan","realstaceydash",39
"58","reppaulryan","anndromney",1
"59","reppaulryan","future",2
"60","reppaulryan","bitch",4
"61","reppaulryan","voted",22
"62","reppaulryan","amp",2
"63","reppaulryan","day",8
"64","reppaulryan","please",2
"65","reppaulryan","campaign",2
"66","reppaulryan","tomorrow",8
"67","reppaulryan","ass",1
"68","reppaulryan","love",1
"69","reppaulryan","family",1
"70","reppaulryan","support",9
"71","reppaulryan","proud",18
"72","reppaulryan","votes",1
"73","reppaulryan","fight",19
"74","reppaulryan","victory",14
"75","romneyryan","america",9
"76","romneyryan","real",4
"77","romneyryan","country",5
"78","romneyryan","realstaceydash",16
"79","romneyryan","anndromney",26
"80","romneyryan","bitch",2
"81","romneyryan","tcot",15
"82","romneyryan","voted",6
"83","romneyryan","voting",5
"84","romneyryan","amp",22
"85","romneyryan","day",5
"86","romneyryan","help",3
"87","romneyryan","please",18
"88","romneyryan","time",3
"89","romneyryan","thank",2
"90","romneyryan","campaign",1
"91","romneyryan","wins",3
"92","romneyryan","people",1
"93","romneyryan","luck",2
"94","romneyryan","mitt",2
"95","romneyryan","friends",8
"96","romneyryan","ohio",7
"97","romneyryan","bring",11
"98","romneyryan","ass",1
"99","romneyryan","love",3
"100","romneyryan","family",8
"101","romneyryan","votes",1
"102","romneyryan","ready",8
"103","romneyryan","fight",1
"104","romneyryan","via",2
"105","romneyryan","polling",2
"106","romneyryan","gonna",1
"107","romneyryan","victory",4
"108","romneyryan","stay",1
"109","america","real",28
"110","america","fuck",2
"111","america","country",37
"112","america","anndromney",6
"113","america","recovery",21
"114","america","future",2
"115","america","realdonaldtrump",7
"116","america","bitch",2
"117","america","tcot",6
"118","america","path",30
"119","america","prosperity",30
"120","america","voteobama",2
"121","america","voted",7
"122","america","voting",5
"123","america","amp",31
"124","america","day",9
"125","america","help",41
"126","america","please",36
"127","america","time",5
"128","america","hope",43
"129","america","thank",4
"130","america","campaign",4
"131","america","wins",2
"132","america","people",9
"133","america","luck",1
"134","america","tomorrow",13
"135","america","mitt",2
"136","america","ohio",2
"137","america","bring",5
"138","america","ass",1
"139","america","love",14
"140","america","god",11
"141","america","support",3
"142","america","proud",1
"143","america","speech",2
"144","america","believe",10
"145","america","ready",1
"146","america","fight",1
"147","america","hey",1
"148","america","via",1
"149","america","choice",1
"150","america","americans",3
"151","america","tell",1
"152","america","shit",1
"153","america","victory",1
"154","america","white",1
"155","america","stay",1
"156","america","usa",3
"157","dont","forget",77
"158","dont","fuck",3
"159","dont","menhumor",28
"160","dont","voteobama",67
"161","dont","voting",1
"162","dont","amp",1
"163","dont","day",1
"164","dont","please",3
"165","dont","hope",1
"166","dont","ohio",1
"167","dont","ass",2
"168","dont","god",1
"169","dont","votes",1
"170","dont","believe",1
"171","dont","hard",1
"172","dont","shit",2
"173","dont","gonna",1
"174","dont","white",1
"175","robdelaney","considering",49
"176","robdelaney","vagina",49
"177","robdelaney","entered",49
"178","robdelaney","remembered",49
"179","robdelaney","voting",49
"180","robdelaney","mitt",1
"181","robdelaney","world",49
"182","real","country",13
"183","real","anndromney",2
"184","real","recovery",41
"185","real","realdonaldtrump",1
"186","real","tcot",4
"187","real","voting",2
"188","real","amp",21
"189","real","help",17
"190","real","campaign",1
"191","real","tomorrow",13
"192","real","mitt",2
"193","real","world",1
"194","real","bring",8
"195","real","love",5
"196","real","votes",1
"197","real","ready",4
"198","real","via",1
"199","real","americans",10
"200","real","tell",1
"201","considering","vagina",49
"202","considering","entered",49
"203","considering","remembered",49
"204","considering","voting",49
"205","considering","wins",1
"206","considering","world",49
"207","considering","gonna",1
"208","forget","menhumor",28
"209","forget","voteobama",103
"210","forget","hey",8
"211","vagina","entered",49
"212","vagina","remembered",49
"213","vagina","voting",49
"214","vagina","world",49
"215","fuck","country",1
"216","fuck","realstaceydash",1
"217","fuck","future",1
"218","fuck","realdonaldtrump",2
"219","fuck","bitch",8
"220","fuck","brighter",1
"221","fuck","voteobama",3
"222","fuck","amp",3
"223","fuck","day",1
"224","fuck","help",3
"225","fuck","please",1
"226","fuck","people",1
"227","fuck","tomorrow",1
"228","fuck","mitt",2
"229","fuck","world",1
"230","fuck","bring",2
"231","fuck","ass",4
"232","fuck","love",3
"233","fuck","votes",1
"234","fuck","hey",3
"235","fuck","lilduval",1
"236","fuck","americans",1
"237","fuck","tell",2
"238","fuck","shit",8
"239","entered","remembered",49
"240","entered","voting",49
"241","entered","world",49
"242","remembered","voting",49
"243","remembered","world",49
"244","country","anndromney",1
"245","country","tcot",6
"246","country","path",30
"247","country","prosperity",30
"248","country","voted",4
"249","country","voting",2
"250","country","amp",4
"251","country","day",1
"252","country","help",71
"253","country","please",39
"254","country","time",3
"255","country","hope",2
"256","country","thank",3
"257","country","wins",1
"258","country","mitt",4
"259","country","bring",43
"260","country","love",18
"261","country","family",1
"262","country","god",5
"263","country","proud",2
"264","country","speech",1
"265","country","believe",1
"266","country","fight",1
"267","country","via",1
"268","country","polling",1
"269","country","choice",1
"270","country","americans",1
"271","country","hard",1
"272","country","white",1
"273","country","stay",1
"274","realstaceydash","realdonaldtrump",1
"275","realstaceydash","bitch",4
"276","realstaceydash","voted",1
"277","realstaceydash","please",1
"278","realstaceydash","campaign",1
"279","realstaceydash","ass",1
"280","realstaceydash","love",1
"281","realstaceydash","proud",19
"282","realstaceydash","fight",20
"283","realstaceydash","usa",1
"284","anndromney","realdonaldtrump",6
"285","anndromney","tcot",2
