"","source","target","weight"
"1","ago","michelleobama",179
"2","ago","forward",4
"3","ago","elected",182
"4","ago","days",183
"5","ago","nhfinalpush",1
"6","ago","voting",1
"7","ago","win",1
"8","ago","hope",1
"9","ago","ready",1
"10","michelleobama","forward",3
"11","michelleobama","elected",180
"12","michelleobama","days",179
"13","michelleobama","believe",1
"14","michelleobama","america",1
"15","michelleobama","people",2
"16","michelleobama","win",1
"17","michelleobama","voted",1
"18","michelleobama","jobs",1
"19","michelleobama","help",1
"20","michelleobama","ready",2
"21","michelleobama","white",1
"22","michelleobama","hey",1
"23","forward","elected",2
"24","forward","confirm",20
"25","forward","days",3
"26","forward","middle",1
"27","forward","class",1
"28","forward","hard",47
"29","forward","families",47
"30","forward","fight",48
"31","forward","cincy",39
"32","forward","httpcoqwqgwi",37
"33","forward","america",47
"34","forward","voting",6
"35","forward","people",1
"36","forward","win",2
"37","forward","ohio",2
"38","forward","crowd",1
"39","forward","please",1
"40","forward","voted",1
"41","forward","tax",1
"42","forward","voters",1
"43","forward","women",1
"44","forward","video",1
"45","forward","bring",43
"46","forward","nation",1
"47","forward","final",2
"48","forward","usa",3
"49","forward","getting",1
"50","forward","future",9
"51","forward","party",1
"52","forward","pay",1
"53","forward","breaking",1
"54","forward","revenge",1
"55","forward","sandy",1
"56","forward","clinton",1
"57","forward","ready",1
"58","forward","florida",2
"59","forward","hey",1
"60","elected","days",182
"61","elected","america",1
"62","elected","win",1
"63","elected","please",1
"64","elected","revenge",1
"65","elected","look",1
"66","confirm","hard",19
"67","confirm","location",49
"68","confirm","families",19
"69","confirm","fight",19
"70","confirm","voting",49
"71","confirm","people",1
"72","confirm","ohio",12
"73","confirm","voters",35
"74","confirm","wisconsin",1
"75","confirm","florida",4
"76","days","people",1
"77","days","win",2
"78","days","campaign",2
"79","days","please",1
"80","days","time",3
"81","days","jobs",3
"82","days","sandy",1
"83","days","hey",1
"84","progress","typical",52
"85","progress","taking",52
"86","progress","america",2
"87","progress","jobs",7
"88","progress","tax",6
"89","progress","real",1
"90","middle","class",83
"91","middle","fighting",61
"92","middle","candidate",61
"93","middle","voting",1
"94","middle","ohio",10
"95","middle","voted",1
"96","middle","nation",10
"97","middle","live",1
"98","class","fighting",61
"99","class","candidate",61
"100","class","voting",1
"101","class","ohio",10
"102","class","nation",10
"103","believe","mean",18
"104","believe","voting",1
"105","believe","people",2
"106","believe","win",1
"107","believe","voted",1
"108","believe","tell",28
"109","believe","future",1
"110","believe","war",1
"111","believe","live",1
"112","believe","benghazi",1
"113","believe","white",12
"114","believe","coming",1
"115","fighting","fight",1
"116","fighting","candidate",61
"117","fighting","voted",1
"118","fighting","future",2
"119","hard","families",48
"120","hard","fight",48
"121","hard","win",1
"122","hard","campaign",14
"123","hard","hey",1
"124","location","voting",50
"125","location","people",1
"126","location","ohio",12
"127","location","voted",1
"128","location","voters",35
"129","location","wisconsin",1
"130","location","florida",4
"131","families","fight",48
"132","typical","taking",53
"133","fight","candidate",1
"134","fight","people",1
"135","fight","ohio",1
"136","fight","final",1
"137","fight","money",1
"138","fight","sandy",1
